CCC
CCCCV
CCCVC
CCCVV
CCV
CCVC
CCVCC
CCVCV
CCVV
CCVVC
CVC
CVCC
CVCCC
CVCCV
CVCV
CVCVC
CVCVV
CVV
CVVC
CVVCC
CVVCV
CVVV
VCC
VCCC
VCCCC
VCCCV
VCCV
VCCVC
VCCVV
VCV
VCVC
VCVCC
VCVCV
VCVV
VCVVC
VVC
VVCC
VVCCV
VVCV
VVCVC
VVV
