1,Lee,40.09,17.41,37.83,1.34
2,Jackson,41.93,53.02,0.31,1.53
3,James,54.45,38.09,0.81,2.04
4,Harris,53.88,41.63,0.36,1.45
5,Nguyen,1.26,0.18,95.93,0.58
6,Williams,48.52,46.72,0.37,1.6
7,Thomas,55.53,38.17,1.63,1.66
8,Robinson,51.34,44.1,0.37,1.68
9,Lewis,60.97,33.83,0.45,1.64
10,Mitchell,63.55,31.52,0.39,1.63
